Коэффициенты текущей динамики																												
Date	CoefDyn Open Interest Total	CoefDyn Reportable Positions Net	CoefDyn Reportable Positions Long	CoefDyn Reportable Positions Short	CoefDyn Prod_Merc_Positions Total	CoefDyn Prod_Merc_Positions Net	CoefDyn Prod_Merc_Positions Long	CoefDyn Prod_Merc_Positions Short	CoefDyn Swap_Positions Total	CoefDyn Swap_Positions Net	CoefDyn Swap_Positions Long	CoefDyn Swap_Positions Short	CoefDyn Swap_Positions Spread	CoefDyn M_Money_Positions Total	CoefDyn M_Money_Positions Net	CoefDyn M_Money_Positions Long	CoefDyn M_Money_Positions Short	CoefDyn M_Money_Positions Spread	CoefDyn Other_Rept_Positions Total	CoefDyn Other_Rept_Positions Net	CoefDyn Other_Rept_Positions Long	CoefDyn Other_Rept_Positions Short	CoefDyn Other_Rept_Positions Spread	CoefDyn NonRept_Positions Total	CoefDyn NonRept_Positions Net	CoefDyn NonRept_Positions Long	CoefDyn NonRept_Positions Short	Net
01.06.2010	0,0241680	-0,1293139	0,0150808	0,0223311	0,0110525	-0,0303555	0,0498268	-0,0024446	0,0067164	-0,0228146	-0,0170055	0,0172414	0,3251768	0,0112455	0,1485895	-0,0440430	0,0371831	0,0251336	0,0204660	-0,3603580	0,0952996	-0,0664384	0,0608052	0,0795099	-0,1293139	0,1469715	0,0385274	21
08.06.2010	0,0043744	0,0548900	0,0042120	0,0020448	0,0225369	-0,0302733	0,0682114	0,0058049	-0,0174471	-0,0529461	-0,0330769	0,0794473	-0,0058665	-0,0077107	-0,0004209	0,0206117	0,0107904	-0,0859025	0,1072569	-1,0216003	0,4032131	0,0566954	-0,0520979	0,0158824	0,0548900	0,0063163	0,0223006	23
15.06.2010	0,0083984	-0,0721969	0,0059165	0,0094330	0,0180361	-0,0129295	0,0423485	0,0085771	-0,0186145	0,0303330	0,0119386	-0,0794567	-0,2293702	0,0300380	0,1875947	-0,0177930	0,0770502	-0,0246948	0,0545062	3,9622642	0,0594860	0,0400838	0,0641535	0,0154806	-0,0721969	0,0380203	0,0005946	23
22.06.2010	-0,0550631	0,1178818	-0,0545679	-0,0617035	-0,0694358	0,0474867	-0,1563681	-0,0344813	-0,0304475	0,0035247	-0,0165630	-0,1282758	-0,0165077	-0,0691552	-0,2644754	0,0662817	-0,1021303	-0,1643621	-0,0410964	-10,3726236	-0,1470018	0,0955358	-0,0693454	-0,0274061	0,1178818	-0,0607900	-0,0045334	24
29.06.2010	-0,0503491	0,1461650	-0,0435300	-0,0528815	-0,0469073	0,0109081	-0,1002803	-0,0281558	-0,0177879	0,0136585	-0,0046436	-0,1218156	-0,0054247	-0,0350072	-0,1483562	0,0471731	-0,0343836	-0,1831829	-0,1096959	0,5937796	-0,2165381	-0,0521088	-0,0771967	-0,0704873	0,1461650	-0,1297396	-0,0321854	25
06.07.2010	-0,0020747	0,1174663	-0,0021160	-0,0092500	0,0430540	0,0964055	-0,0122847	0,0610533	-0,0084202	0,0110163	-0,0126232	-0,1873120	0,3388090	-0,1174427	-0,5296748	-0,0067201	-0,1991025	-0,0753185	0,0620719	0,5780587	-0,0477195	0,1657886	0,0240765	0,0299697	0,1174663	-0,0015463	0,0482887	25
13.07.2010	0,0272581	0,0528040	0,0272097	0,0254875	0,0774005	0,1785894	-0,0391073	0,1126762	-0,0412462	0,0306971	-0,0299166	-0,5871439	0,3823811	-0,0352219	-1,1943676	0,0953486	-0,1832742	0,1076292	0,0529485	0,0837679	-0,0107512	0,0329021	0,1278190	0,0350384	0,0528040	0,0278765	0,0390034	24
20.07.2010	0,0257094	-0,0832469	0,0222980	0,0295891	0,0713707	0,1308060	-0,0125663	0,0933180	0,0322582	-0,0103199	0,0160106	0,6203114	-0,0262118	0,0172676	4,4061920	0,0956324	-0,1259849	0,1575722	-0,0205228	-0,2495411	0,2730538	0,0198096	-0,2624105	0,0247253	-0,0832469	0,0693078	0,0003074	23
27.07.2010	0,0383959	0,0008975	0,0391076	0,0414579	0,0607829	0,0318710	0,1075421	0,0497408	0,0106518	0,0028094	0,0081966	0,0837155	-0,0070498	0,0034314	0,6647578	0,0709805	-0,1178474	0,0595657	0,0853533	0,4449660	-0,0682959	0,1147336	0,2065987	0,0221698	0,0008975	0,0297002	0,0177610	20
03.08.2010	0,0046457	0,0108386	0,0134114	0,0135634	0,0138888	0,0571932	-0,0513621	0,0301463	0,0217012	-0,0158564	-0,0100099	0,0658292	0,2346529	0,0207878	0,0053664	0,0136500	0,0186214	0,0404799	-0,0161006	-0,6027084	0,3643085	-0,0826866	-0,2385612	-0,0741798	0,0108386	-0,1034344	-0,0568509	6
10.08.2010	0,0214159	-0,1805839	-0,0023577	0,0081497	-0,0428200	-0,0192786	-0,0823512	-0,0337499	-0,0156784	-0,0771234	-0,0294348	0,5417533	-0,1902881	0,0203030	0,1903100	0,0391258	-0,0504246	0,0781263	0,0947980	-0,0982266	0,0034301	-0,0169214	0,4537232	0,2036720	-0,1805839	0,3527458	0,1197297	6
17.08.2010	-0,0049529	-0,1983996	-0,0004369	0,0090492	-0,0038190	0,0052070	-0,0200174	-0,0002893	-0,0199607	-0,0556363	-0,0467496	0,0169644	0,1396700	-0,0096874	0,1534725	0,0530983	-0,0214287	-0,1317277	0,0796481	-0,1464692	0,0873837	0,0444387	0,1176000	-0,0793469	-0,1983996	-0,0513694	-0,0983792	10
24.08.2010	-0,0037810	0,2204932	0,0020112	-0,0063058	0,0332923	-0,0136396	0,1196861	0,0148387	-0,0305469	-0,0122441	-0,0218730	-0,0859796	-0,0391515	0,0021049	-0,0117627	0,0187494	0,0454536	-0,1029028	0,0102801	-0,5643327	0,0746817	-0,0212178	-0,0182450	-0,0189610	0,2204932	-0,0665112	0,0150726	10
31.08.2010	-0,0715094	-0,1020447	-0,0763219	-0,0751192	-0,0502809	-0,0594450	-0,0354201	-0,0537831	-0,0312507	-0,0117480	-0,0169259	-0,0541800	-0,1016050	-0,0936100	0,1799773	-0,0220236	-0,1891390	-0,1515152	-0,1631080	6,1847527	-0,4085937	0,0318400	-0,1213295	-0,0333892	-0,1020447	-0,0155641	-0,0451219	12
07.09.2010	0,0182174	0,2314616	0,0346171	0,0256814	0,0313573	0,0558539	-0,0073779	0,0406631	0,0369459	0,0493936	0,0436219	0,0002325	0,0211463	0,0510495	0,0183365	0,0411282	0,0685672	0,0578692	0,0200020	-0,2346334	0,2149300	0,0058247	-0,1094569	-0,0855818	0,2314616	-0,1606649	-0,0346312	7
14.09.2010	0,0282081	-0,1814741	0,0110547	0,0215479	0,0196597	0,0072005	0,0406157	0,0148576	-0,0222643	-0,0237406	-0,0288630	-0,0692637	0,0588760	0,0549105	0,0151731	0,0328430	0,0531157	0,1328298	-0,0014167	-0,0261038	0,0017790	-0,0080896	0,0060630	0,1453014	-0,1814741	0,2588438	0,0783117	7
21.09.2010	0,0004316	-0,1295381	-0,0076889	-0,0023677	-0,0210570	-0,0590132	0,0407346	-0,0355758	-0,0071386	-0,0188301	-0,0155014	0,0120368	0,0322689	-0,0064152	-0,1869225	-0,0694814	0,0604051	0,0907866	0,0080820	0,0561077	0,0010245	0,0201662	-0,0038869	0,0480100	-0,1295381	0,0881230	0,0203812	3
28.09.2010	0,0067412	0,0907426	0,0105345	0,0074783	-0,0091747	-0,0693944	0,0794649	-0,0316500	0,0062484	0,0142752	0,0061986	-0,0585797	0,0494545	-0,0079157	-0,3138237	-0,1020172	0,0775981	0,1186404	0,0263812	0,0132969	0,0036504	0,0071207	0,0818000	-0,0120392	0,0907426	-0,0306154	0,0016051	8
05.10.2010	0,0116680	0,0931587	0,0215901	0,0186377	0,0368005	-0,0218023	0,1111649	0,0157812	0,0272159	0,0274569	0,0220753	-0,0244286	0,0873070	-0,0232074	-0,3835779	-0,0956904	0,0597651	0,0163102	0,0222703	-0,2433339	0,1244774	-0,0086536	-0,0300473	-0,0592075	0,0931587	-0,0901929	-0,0371809	13
12.10.2010	0,0237461	-0,1419646	0,0247900	0,0321723	0,0106905	-0,0287622	0,0547633	-0,0029366	0,0029936	0,0023795	0,0016545	-0,0049436	0,0144276	0,0896081	-0,4691031	0,0192523	0,1726391	0,1031608	0,0212579	-0,0161546	0,0244551	0,0132359	0,0301593	-0,0184638	-0,1419646	0,0117129	-0,0387344	5
19.10.2010	0,0230997	0,0850543	0,0228937	0,0206061	0,0557646	0,0133246	0,0994204	0,0414854	-0,0038020	0,0120988	0,0038717	-0,0715520	-0,0091712	-0,0028904	-0,1881793	-0,0296862	-0,0071486	0,0504123	0,0053714	-0,2433999	0,0111537	-0,0571318	0,0947508	0,0357267	0,0850543	0,0255047	0,0429536	14
26.10.2010	0,0062239	-0,1748721	-0,0013753	0,0054129	-0,0066631	0,0498303	-0,0602239	0,0118305	-0,0060127	0,0041147	0,0021850	-0,0171000	-0,0447141	0,0202339	0,5175732	0,0459207	-0,0089190	0,0209266	0,0241369	0,0055319	0,0402416	0,0327700	-0,0039630	0,0462464	-0,1748721	0,0947292	0,0125432	11
02.11.2010	-0,0084696	-0,3023333	-0,0136472	-0,0043776	-0,0293938	0,0681056	-0,1326573	0,0037222	-0,0386376	-0,0066133	-0,0081878	-0,0242618	-0,2178463	0,0302979	0,2551236	0,0550995	0,0194875	0,0044760	0,0729298	-0,4925942	0,1367577	0,0048560	0,0970691	-0,0029405	-0,3023333	0,0465383	-0,0401279	10
09.11.2010	0,0031182	-0,2633540	-0,0070673	-0,0013008	0,0035771	0,0452513	-0,0507774	0,0186399	0,0012489	0,0308480	0,0068608	-0,2424647	0,1142367	-0,0076031	-0,0812770	0,0150598	0,0361757	-0,1092754	-0,0016481	-0,1563803	0,0309215	0,0110993	-0,0541790	0,0685424	-0,2633540	0,1051080	0,0385790	4
16.11.2010	-0,0428116	2,0057076	-0,0207705	-0,0544027	-0,0735033	-0,1755528	0,0730622	-0,1113517	0,0102127	-0,0135842	-0,0134220	-0,0111280	0,1722770	-0,0812630	-1,8555033	-0,2211703	0,0964514	-0,0988481	-0,0266015	-2,4686110	0,0636984	-0,1599048	0,0417691	-0,0873972	2,0057076	-0,2411119	0,0466318	23
23.11.2010	-0,0115823	0,0575288	-0,0038300	-0,0070669	-0,0164033	-0,0334830	0,0024435	-0,0222802	0,0422383	-0,0106555	0,0237853	0,5097150	-0,0257675	-0,0456112	0,2376560	-0,0734006	-0,0262333	-0,0371520	-0,0019406	0,1417031	0,0087317	-0,0117940	-0,0046079	-0,0657279	0,0575288	-0,1015792	-0,0430621	24
30.11.2010	-0,0745205	-0,0178746	-0,0822571	-0,0858745	-0,0580465	-0,0217942	-0,0966160	-0,0457154	-0,0558536	0,0542342	0,0112840	-0,3858323	-0,2557736	-0,0188134	0,0045916	-0,0003055	0,0006383	-0,0889093	-0,2132199	-1,8882665	-0,3562823	-0,0830705	-0,1719592	0,0141141	-0,0178746	0,0250664	0,0076133	23
07.12.2010	0,0430237	-0,1852406	0,0392204	0,0527701	0,0968043	0,2698363	-0,1025351	0,1571357	-0,0106918	0,0275568	0,0100971	-0,2670043	-0,0542140	0,0981289	-2,1362206	0,3331176	-0,1446756	0,2174012	-0,0129366	0,1078659	0,0431136	0,0543005	-0,1480143	0,0196449	-0,1852406	0,0868546	-0,0209390	4
14.12.2010	-0,0017175	-0,0498776	0,0036830	0,0061852	0,0149564	0,0432713	-0,0311978	0,0257906	0,0025235	-0,0152373	-0,0035199	0,2571769	-0,0382569	-0,0111795	0,5094962	0,0431634	-0,0767001	-0,0155679	0,0153160	-0,2610845	0,0293043	-0,0234133	0,0554555	-0,0589870	-0,0498776	-0,0612270	-0,0574854	5
21.12.2010	0,0039238	-0,0744498	-0,0008437	0,0024035	0,0039004	0,0171123	-0,0192908	0,0090418	0,0092558	-0,0068558	-0,0008073	0,1046049	0,0513274	-0,0140791	-0,0240716	-0,0249738	-0,0253529	0,0253730	-0,0197380	-0,7218731	0,0352808	-0,0687216	-0,0176656	0,0332784	-0,0744498	0,0600903	0,0153772	0
28.12.2010	0,0168520	-0,0766108	0,0172982	0,0211234	0,0226709	0,0479785	-0,0234012	0,0325982	0,0061067	0,0053539	0,0064478	0,0235890	-0,0052609	0,0239264	0,3196204	0,0638879	-0,0437182	0,0391644	0,0319038	0,3615160	0,0321766	0,0456869	0,0137769	-0,0039029	-0,0766108	0,0118964	-0,0149159	-3
04.01.2011	0,0208955	-0,0452204	0,0179903	0,0203186	0,0179019	0,0071414	0,0389231	0,0136181	0,0114298	0,0094419	0,0121790	0,0543032	-0,0164163	0,0090394	0,0994267	0,0052338	-0,0494593	0,0922768	0,0051405	2,1359743	-0,1080501	0,0118091	0,1389037	0,0370201	-0,0452204	0,0533277	0,0253433	-4
11.01.2011	-0,0043387	0,0599921	-0,0024745	-0,0046276	-0,0178100	-0,0580784	0,0584498	-0,0337387	-0,0226910	-0,0520811	-0,0384462	0,1624672	0,0112703	-0,0000989	-0,0278618	-0,0323300	-0,0353309	0,0999535	0,0172197	-0,0075111	0,0061298	0,0038716	0,0439520	-0,0115855	0,0599921	-0,0244508	-0,0021221	-3
18.01.2011	0,0196041	-0,0312151	0,0173647	0,0191478	0,0069802	-0,0134425	0,0413984	-0,0008948	-0,0027135	-0,0154955	-0,0117518	0,0332308	0,0481092	0,0073361	-0,1898626	-0,0384704	0,0639916	0,0271808	0,0950905	-0,9822841	0,2165337	0,0203249	0,0646091	0,0319699	-0,0312151	0,0443098	0,0230961	-6
25.01.2011	0,0589560	-0,1404779	0,0549627	0,0617820	0,0818229	0,0670397	0,1054249	0,0761941	0,0027779	0,0063235	0,0012014	-0,0574416	0,0517451	0,0768293	0,4777277	0,1581598	-0,0065210	0,0361401	0,0638495	31,3106796	-0,0211942	0,0678438	0,1519307	0,0647003	-0,1404779	0,1018731	0,0374144	-11
01.02.2011	0,0183023	-0,1067968	0,0161954	0,0196693	-0,0026022	0,0123082	-0,0255807	0,0030267	0,0198599	0,0004538	0,0015663	0,0151653	0,1553926	0,0335956	0,0200429	0,0386297	0,0528765	0,0060418	0,0059172	-0,0399639	-0,0211443	-0,0227625	0,0598893	0,0218065	-0,1067968	0,0399815	0,0076367	-11
08.02.2011	0,0301327	-0,1607843	0,0246745	0,0292631	0,0188582	0,0637350	-0,0529909	0,0359567	0,0208678	0,0189690	0,0222861	0,0622450	-0,0080489	0,0082245	0,1526706	0,0502071	-0,0258825	-0,0317463	0,1033711	-0,4635368	0,1311078	0,0808767	0,1006700	0,0584060	-0,1607843	0,0850111	0,0369978	-19
15.02.2011	-0,0272520	0,3056274	-0,0258341	-0,0325208	-0,0636499	-0,0751071	-0,0430457	-0,0681323	0,0248590	-0,0240079	-0,0166354	0,0685592	0,2716744	-0,0682597	-0,2309860	-0,0805007	0,0517337	-0,1681391	-0,0146791	-1,0513419	-0,0106209	-0,0542537	0,0179702	-0,0109905	0,3056274	-0,0407154	0,0140354	-14
22.02.2011	-0,0520373	-0,2832775	-0,0601646	-0,0540904	-0,0306573	-0,0718385	0,0409204	-0,0466479	-0,0302400	-0,0167646	-0,0126032	0,0313185	-0,1455388	-0,0803142	-0,4970825	-0,1558278	0,0634314	-0,1059796	-0,0906398	24,7727273	-0,0685384	-0,1250776	-0,0801970	-0,0087486	-0,2832775	0,0263301	-0,0366874	-4
01.03.2011	-0,0648279	0,3810030	-0,0585316	-0,0675984	-0,0925785	0,0084403	-0,2491405	-0,0543895	0,0043393	0,0229571	0,0325191	0,1287369	-0,2243981	-0,1100727	-0,0044893	-0,1168886	-0,1510417	-0,0328660	-0,0348592	0,5621693	-0,0224956	-0,0616945	-0,0238289	-0,0793455	0,3810030	-0,1204232	-0,0444884	-6
08.03.2011	0,0023659	0,0160794	0,0109187	0,0107610	0,0267522	-0,0082596	0,0996291	0,0126369	0,0164611	-0,0012914	0,0068483	0,0810783	0,0413887	-0,0095565	0,2117716	0,0075388	-0,0652310	0,0346070	-0,0247061	-1,3220435	-0,1052602	0,0305598	0,0019342	-0,0668501	0,0160794	-0,0784686	-0,0577746	-2
15.03.2011	-0,0004218	0,2223821	0,0028384	-0,0039046	-0,0173616	-0,0682410	0,0781530	-0,0374507	-0,0049217	-0,0637173	-0,0346610	0,2101288	0,0467641	0,0110728	0,1215988	0,0466047	0,0119654	-0,0538206	0,0348089	0,7002629	0,0291416	0,0525511	0,0249988	0,0001114	0,2223821	-0,0342238	0,0263426	11
22.03.2011	-0,0205022	0,0059465	-0,0206112	-0,0216121	-0,0506231	-0,0332780	-0,0787634	-0,0439937	-0,0007328	0,0329311	0,0248630	-0,0277267	-0,1522759	-0,0178460	-0,4301288	-0,0832519	0,0943263	-0,0352941	0,0281817	0,4530928	0,0265928	0,0506245	0,0109906	-0,0151954	0,0059465	-0,0193291	-0,0122238	0
29.03.2011	0,0111414	0,0910714	0,0131861	0,0101678	0,0217052	0,0435773	-0,0155317	0,0301585	-0,0077329	0,0481278	0,0242079	-0,1414345	-0,1331979	0,0221775	0,0393951	0,0083396	0,0000605	0,0812508	0,0150894	0,0219936	-0,0013192	0,0004976	0,0404424	0,0061822	0,0910714	-0,0108430	0,0183334	-2
05.04.2011	0,0223511	0,0074496	0,0247049	0,0254271	0,0556323	0,0422885	0,0797138	0,0504079	-0,0188530	-0,0169861	-0,0242999	-0,0861292	0,1047382	0,0281543	0,7015132	0,1006203	-0,0658725	0,0301970	0,0254968	-0,2270045	0,0350645	0,0142024	0,0275379	-0,0015744	0,0074496	-0,0035707	-0,0001904	-9
12.04.2011	-0,0046579	0,0020167	-0,0059100	-0,0062360	0,0100101	-0,0008716	0,0289675	0,0057826	0,0220270	-0,0030395	0,0009925	0,0376567	0,1913318	-0,0689218	0,1626406	0,0029828	-0,0775953	-0,1932909	-0,0076640	1,5244724	-0,0777017	0,0195069	0,0236016	0,0081506	0,0020167	0,0095226	0,0072027	-6
19.04.2011	-0,0085914	-0,1386482	-0,0035502	0,0020515	-0,0117692	-0,0357877	0,0288611	-0,0210386	-0,0158868	-0,0416124	-0,0387143	-0,0133940	0,1488934	0,0504267	0,0429522	0,0708750	0,0886378	-0,0519789	-0,0221231	0,4932408	-0,0741218	0,0111168	-0,0132957	-0,0782270	-0,1386482	-0,0648132	-0,0875163	-11
26.04.2011	-0,0303760	-0,0633478	-0,0342278	-0,0331899	-0,0184620	0,0351598	-0,1034701	0,0019204	-0,0250488	0,0169258	0,0062964	-0,0839139	-0,1786127	0,0203546	0,3394450	0,0861984	-0,0681408	-0,0083213	-0,0709485	0,8840977	-0,1258406	0,0982372	-0,1754570	0,0020274	-0,0633478	0,0153952	-0,0074603	-14
03.05.2011	-0,0215912	0,1911163	-0,0199929	-0,0272825	-0,0679079	-0,0790259	-0,0475567	-0,0722742	0,0030986	-0,0096339	-0,0014435	0,0757186	-0,0150590	0,0360893	-0,1936927	-0,0297223	0,1139168	0,1064533	-0,0435999	0,1382057	-0,0186113	0,0410791	-0,1538339	-0,0030350	0,1911163	-0,0396560	0,0235551	-9
10.05.2011	-0,0098687	0,1677817	-0,0113993	-0,0189756	-0,0148404	-0,0711535	0,0848330	-0,0367950	-0,0329789	-0,0371483	-0,0365647	-0,0315034	-0,0069311	-0,0110066	-0,2029056	-0,0523342	0,0431425	0,0097690	-0,0162144	-0,2082986	0,0015441	-0,0857817	0,0639497	0,0381192	0,1677817	0,0077851	0,0587843	-13
17.05.2011	-0,0029919	0,0784636	-0,0046075	-0,0087887	0,0089808	-0,1205750	0,2053205	-0,0397270	-0,0096327	-0,0151450	-0,0103248	0,0312399	-0,0358008	-0,0192254	-0,5698136	-0,1056762	0,1192125	-0,0354199	-0,0011433	0,0178910	0,0012650	0,0072566	-0,0127096	0,0287615	0,0784636	0,0152878	0,0374982	-12
24.05.2011	0,0129098	-0,1936438	0,0039549	0,0147760	-0,0010775	0,1443562	-0,1618871	0,0489964	-0,0045384	-0,0137725	-0,0123037	-0,0002082	0,0505855	-0,0132287	1,6210606	0,0749189	-0,2130293	0,1639723	0,0408310	-0,0066860	0,0695645	0,0417953	0,0179987	0,0438519	-0,1936438	0,1122403	0,0004558	-15
31.05.2011	-0,0083557	0,0941797	-0,0073483	-0,0117664	-0,0299594	0,0058999	-0,0840980	-0,0164904	-0,0227405	-0,0021790	-0,0143173	-0,1129217	-0,0123617	0,0053044	0,0929202	0,0060074	-0,0479023	0,0708050	0,0208944	-0,0222747	0,0529696	0,0268421	-0,0117675	0,0010092	0,0941797	-0,0184414	0,0147307	-16
07.06.2011	-0,0018727	-0,0646597	-0,0133422	-0,0108697	-0,0521912	-0,0376625	-0,0762811	-0,0466099	0,0204118	0,0429301	0,0308741	-0,0792887	0,0159636	0,0255353	-0,4466713	-0,0775196	0,1853228	0,0441527	-0,0498751	0,0161107	-0,0575966	-0,0332270	-0,0643661	0,0804851	-0,0646597	0,1142627	0,0574355	-10
14.06.2011	-0,0162364	0,1504058	-0,0148008	-0,0223277	-0,0478493	-0,0507882	-0,0427724	-0,0489889	-0,0053910	0,0232666	0,0177012	-0,0399031	-0,1496143	0,0492935	-0,6400168	-0,0083764	0,2015693	-0,0464939	-0,0162135	-0,1470979	0,0667708	-0,0075485	-0,0981416	0,0002287	0,1504058	-0,0291082	0,0213238	-11
21.06.2011	0,0195648	-0,0691903	0,0211928	0,0260383	-0,0043441	-0,0918235	0,1455046	-0,0382012	0,0243542	0,0390534	0,0302286	-0,0671226	0,0392343	0,0569247	-2,2541298	-0,0036871	0,2204111	-0,0980272	0,0262916	0,5897142	-0,1705140	0,0565189	0,1810299	-0,0091456	-0,0691903	0,0047528	-0,0186460	0
28.06.2011	-0,0586225	-0,0420805	-0,0624795	-0,0634716	-0,0524477	0,0258002	-0,1587135	-0,0238519	-0,0430092	0,0192475	0,0001071	-0,2350722	-0,2875817	-0,0239808	0,1309207	-0,0498544	-0,0313555	0,0422697	-0,1433540	-0,0062848	-0,1704641	-0,0966898	-0,1841041	-0,0263333	-0,0420805	-0,0229566	-0,0286965	4
05.07.2011	0,0086269	0,0927694	0,0145979	0,0107092	-0,0067076	-0,0179201	0,0118595	-0,0110136	0,0324522	0,0414107	0,0435847	0,0791775	-0,1331238	0,0223826	0,8697647	-0,0135047	0,0920233	-0,0541588	0,0381412	0,0270088	0,0450514	0,0361325	0,0360291	-0,0205329	0,0927694	-0,0443532	-0,0037637	8
12.07.2011	0,0002627	-0,0007491	-0,0000790	-0,0000430	0,0048000	0,0177139	-0,0159550	0,0097248	0,0041688	-0,0040381	-0,0049781	-0,0198293	0,1566755	-0,0327291	-0,4095514	-0,0069419	-0,0893013	0,0510405	0,0046148	0,1779315	-0,0625061	0,0553014	-0,0187770	0,0026616	-0,0007491	0,0034815	0,0021079	2
19.07.2011	-0,0184240	0,0897051	-0,0173178	-0,0230699	-0,0658158	-0,0100550	-0,1585000	-0,0443827	-0,0244836	-0,0304576	-0,0318797	-0,0547102	0,0892572	0,0167987	-0,6732737	0,0125306	-0,0784267	0,2159256	-0,0729309	0,0115273	-0,1369162	-0,0557313	-0,0549006	-0,0059171	0,0897051	-0,0288080	0,0095625	-7
